"Acceleration:0","Acceleration:1","Acceleration:2","Contact_Forces:0","Contact_Forces:1","Contact_Forces:2","Displacement:0","Displacement:1","Displacement:2","Mass_Change","NODE_ID","Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
-3.0351601831e+12,-7.97462333839e+12,-1.30576809562e+12,-10746.0845393,-10672.745461,-4954.21835072,-635.527507823,-2345.72936786,-29454.7475289,0,16146261.1859,-1796222.6148,-21202995.3469,29443864.6322,-0.0290696844459,-0.273072034121,-2.36854672432
-1.55060743077e+12,3.93826169083e+12,-2.01065268345e+12,-9166.69234599,-8932.69852335,-6234.49673668,-657.334475307,-2817.08340564,-28168.1767917,0,16076385.8121,6974556.29164,8546842.31221,10484472.5761,-0.0315432921052,-0.336549937725,-2.28013515472
-5.76612393397e+12,5.1683079103e+12,-942903047255,-20031.1421207,-20426.9397878,-11351.0184227,-470.232496312,-3336.88617215,-26814.7839599,0,15976041.7926,4884017.62346,-22674893.2676,-8576935.17379,-0.0175632871687,-0.409494161606,-2.1867647171
2.91095817301e+12,5.24603645965e+12,-577201197244,-5534.58996664,-6132.87015186,-3211.80579241,-405.180190838,-3813.34739825,-25589.5032128,0,15895581.9363,9134591.73932,-10456787.8268,9270382.77111,-0.0119727840647,-0.481393903494,-2.10214066505
2.17264891343e+12,4.29823140246e+12,3.39795512052e+12,-9865.2813775,-11200.9137906,-4873.5310197,-195.840231476,-4346.59599267,-23641.6478544,0,15776856.9441,-5089061.12221,-23177520.7469,40838856.1749,0.00498027680442,-0.563045144081,-1.96239852905
1.32338802629e+12,330055322212,-4.46988988673e+12,-15437.0900143,-16764.0565138,-6161.86763023,-30.2707206533,-4902.24133746,-21968.7996718,0,15696543.8613,535614.286731,-2645180.01773,29617363.6355,0.0202207211405,-0.64215528965,-1.83640646935
-1.86034861162e+13,-3.05256716094e+12,87843563721.8,-28272.7766193,-28168.7879176,-8484.47515891,266.37691358,-5564.04519667,-20163.0653989,0,15586194.5973,8877410.46103,-31827503.2888,7334785.13818,0.0443533435464,-0.733459353447,-1.70290541649
7.55451773312e+12,-423996851372,-3.95421712303e+12,-2247.00585606,-11184.7090632,2865.65004948,498.205719561,-6186.36210579,-18332.1592618,0,15478016.6587,24120330.2921,-21008017.7049,18081989.7078,0.0654779672623,-0.829187095165,-1.5653501749
1.96803577041e+12,-5.32683948405e+12,-3.84509939027e+12,21182.2732696,4443.85742575,3455.3775321,799.626982922,-6846.31093192,-16167.2405107,0,15366730.0452,7963877.83985,-22942915.9036,43619695.6352,0.0905387997627,-0.924752354622,-1.39813733101
409681866892,-1.03845611348e+13,-5.99025743135e+12,0,0,0,1008.65682202,-7504.55696093,-14825.1226878,0,15335548.8288,8674998.19123,-20991668.3268,53588166.5128,0.110096625984,-1.00947535038,-1.29068470001
-5.34553846124e+12,3.82864541952e+12,-9.78870941041e+12,0,0,0,1553.47643255,-8311.64605998,-12522.0826918,0,15209467.29,13434419.8752,-37389311.925,20700984.186,0.159154459834,-1.12420809269,-1.10721123219
-7.22650374039e+12,7.80874423064e+12,591839619472,17016.0648889,7210.62598076,-2991.3056945,1842.03575209,-9310.93707729,-9823.88580297,0,15079514.4689,11088514.8646,-23160373.642,30872727.0322,0.183413907886,-1.2672123909,-0.888768494129
3.00056712602e+12,866721078159,7.20514757875e+12,0,0,0,2239.54935247,-10426.6775548,-6549.05395881,0,14922025.5982,14392367.1925,-21061207.675,70789035.6369,0.220221549273,-1.42523026466,-0.617230415344
5.74010867111e+12,6.60239214344e+12,-3.77224818348e+12,0,0,0,2688.54054504,-11462.1247454,-3024.40153115,0,14763871.0156,-3477313.37285,-17960471.8864,62856366.5765,0.259630322456,-1.58012235165,-0.31694316864
-291350660972,-3.15028136716e+12,-4.66920036109e+12,0,0,0,3238.53483083,-12455.1235549,-523.6448169,0,14653262.4887,-7040937.1243,-38606011.1656,41593313.4186,0.312118768692,-1.71902132034,-0.100729197264
5.70584751807e+12,-7.19073103801e+12,2.20432148491e+12,0,0,0,3898.33557722,-13495.3587264,2029.64511065,0,14530410.3695,40178724.1589,-23672404.2536,54541501.6511,0.382787853479,-1.86981737614,0.122586622834
-959304686550,-8.52317023001e+12,-1.322948509e+12,0,0,0,4531.36897029,-14915.0971026,6044.72562682,0,14368430.4177,-12310314.5117,-22824667.4798,54330794.6435,0.442463070154,-2.07848620415,0.483696579933
1.16003028239e+13,1.18713317185e+12,-2.83712359574e+12,0,0,0,5186.7089259,-16613.6917912,11508.8746598,0,14135808.8091,28739473.4918,-38062250.4286,131193150.561,0.505622327328,-2.34420633316,0.990573883057
1.14161041959e+13,4.14296340863e+12,-2.01212915398e+13,0,0,0,6031.14739537,-17929.475305,14926.3214396,0,14027732.5863,-2698252.89765,-59635731.8948,65610602.6162,0.589888513088,-2.54196357727,1.31355202198
1.11799477079e+13,1.10052441256e+13,-1.76198021639e+13,0,0,0,7078.27736378,-19296.0732556,18410.5894988,0,13864185.9165,58083231.5744,-32357270.6778,105998523.643,0.705978691578,-2.74814581871,1.64733552933
1.00696013079e+13,-4.57851337582e+12,2.95474472399e+13,0,0,0,7857.32846975,-20667.2094484,21851.8088494,0,13734324.5988,17206529.0831,-51351798.4188,116616551.956,0.791039288044,-2.95074129105,1.98377609253
9.81701463248e+12,-1.78268583811e+13,-3.1196058772e+12,0,0,0,8674.89278507,-22517.6137423,27618.098942,0,13524723.5161,47636657.6411,-34820403.3081,138014948.144,0.87243103981,-3.25376582146,2.57012367249
2.84217429771e+13,9.66087239078e+12,-1.08625230199e+13,0,0,0,9769.59310297,-24714.1739626,34154.2544978,0,13274480.9041,-7644014.14746,-54169596.0499,96470922.694,0.999692857265,-3.62245678902,3.25486540794
1.8297019958e+12,-1.23889098387e+13,-6.48550165518e+12,0,0,0,10983.8799636,-26773.6529063,39316.9327116,0,13101418.3455,29230297.4664,-49467002.2676,120575383.225,1.13933944702,-3.95549964905,3.81084084511
6.22196925138e+12,9.99713926456e+12,1.2038810895e+13,0,0,0,12516.5096848,-28200.2367631,43966.5744859,0,12902047.0921,45678424.2265,-44532034.6754,141686709.377,1.31802558899,-4.20758867264,4.31506729126
